Title,Link,ID
PRINCIPIO 0 DE LA TERMODINÁMICA | Termodinámica,https://www.youtube.com/watch?v=N4QsZOon3E4,N4QsZOon3E4
SN1: FACTORES Y CONDICIONES | SUSTITUCIÓN NUCLEOFÍLICA | Química Orgánica,https://www.youtube.com/watch?v=9_IVWPc_bjM,9_IVWPc_bjM
"ALCANOS | Tipos de Carbonos (Primario, secundario, etc.) | Tema 1",https://www.youtube.com/watch?v=5DOaXxnYmp4,5DOaXxnYmp4
EXPLOTAR UN GLOBO CON UNA NARANJA | Experimento Explicado,https://www.youtube.com/watch?v=j1FChH41Hls,j1FChH41Hls
¿QUÉ ES UN ALÓTROPO? | Química Básica,https://www.youtube.com/watch?v=tGooFjm0mkE,tGooFjm0mkE
¿QUÉ ES UN ELECTRÓFILO? | Química Orgánica,https://www.youtube.com/watch?v=FciRIJ8fZNM,FciRIJ8fZNM
EL ENLACE QUÍMICO | Química Básica,https://www.youtube.com/watch?v=YezXo6ypcRw,YezXo6ypcRw
LA QUIMICA DEL FULMINATO DE MERCURIO DE BREAKING BAD,https://www.youtube.com/watch?v=fEoizZSQT8k,fEoizZSQT8k
SOLUBILIDAD Y PRECIPITACIÓN | Ejercicios resueltos,https://www.youtube.com/watch?v=Sr-sws3A368,Sr-sws3A368
EQUILIBRIO Y TEMPERATURA. ECUACIÓN DE VAN'T HOFF | Equilibrio,https://www.youtube.com/watch?v=4NkVSasjLgI,4NkVSasjLgI
TAUTOMERÍA CETO-ENOL | Química Orgánica,https://www.youtube.com/watch?v=ItS0H4I_Qrc,ItS0H4I_Qrc
¿QUE ES UN CALORÍMETRO?,https://www.youtube.com/watch?v=I0g5Xefwvms,I0g5Xefwvms
ALCANOS | Formulación Orgánica,https://www.youtube.com/watch?v=CaCIk-b8CH4,CaCIk-b8CH4
CONFIGURACIÓN ELECTRÓNICA CON KERNEL | Química Básica,https://www.youtube.com/watch?v=F0yJfqRb7kA,F0yJfqRb7kA
¿PORQUE GAS IDEAL Y NO REAL?,https://www.youtube.com/watch?v=0wxER1PU7-o,0wxER1PU7-o
TIEMPO DE VIDA MEDIA DE UN ISÓTOPO | Química básica,https://www.youtube.com/watch?v=OipDxMRYm8U,OipDxMRYm8U
T.O.M.| Combinaciones de orbitales,https://www.youtube.com/watch?v=hlKMfhhQEYo,hlKMfhhQEYo
CONFORMACIONES CICLOHEXANO Y CICLOPENTANO | Química Orgánica,https://www.youtube.com/watch?v=NWf1_nVqJQA,NWf1_nVqJQA
ÁCIDOS Y BASES DÉBILES: CONSTANTES,https://www.youtube.com/watch?v=ZIFpEK075oM,ZIFpEK075oM
¿PORQUÉ ES TAN DIFÍCIL LA QUÍMICA?,https://www.youtube.com/watch?v=D9mvjzU0zR0,D9mvjzU0zR0
VALORACIÓN ÁCIDO-BASE ¿QUÉ ES?,https://www.youtube.com/watch?v=xc88KGDatZA,xc88KGDatZA
BALANCE DE MASAS Y CARGAS,https://www.youtube.com/watch?v=HTLwQVip8Iw,HTLwQVip8Iw
FORMAS RESONANTES | NITROBENCENO | Explicado,https://www.youtube.com/watch?v=GzVyaD-rkto,GzVyaD-rkto
Teoria del Enlace de Valencia | TEV,https://www.youtube.com/watch?v=76x_zHV-kEE,76x_zHV-kEE
PRODUCTO DE SOLUBILIDAD | Equilibrio,https://www.youtube.com/watch?v=wFhzW92tGzQ,wFhzW92tGzQ
ENERGÍA CINÉTICA DE UN GAS | Química-Física,https://www.youtube.com/watch?v=3EaUihlx4o8,3EaUihlx4o8
REACTIVOS DE GRIGNARD Y ORGANOLITIOS | Química Orgánica,https://www.youtube.com/watch?v=Dw894N2J7xY,Dw894N2J7xY
PROBLEMA CINÉTICA QUÍMICA | órdenes de reacción,https://www.youtube.com/watch?v=dzyc9S1dU1A,dzyc9S1dU1A
"LYMAN, BALMER Y RYDBERG | Química Básica",https://www.youtube.com/watch?v=0NSbbMG6MY0,0NSbbMG6MY0
HELIO | ELEMENTO 2,https://www.youtube.com/watch?v=yU14NFMHOdc,yU14NFMHOdc
INGENIERÍA QUÍMICA VS QUÍMICA,https://www.youtube.com/watch?v=rwpcdy0-RMQ,rwpcdy0-RMQ
FRACCIÓN MOLAR | Química básica,https://www.youtube.com/watch?v=v4-UHXYAqFk,v4-UHXYAqFk
ORDENAR POR RADIOS ATÓMICOS | 14 | Ejercicios de química resueltos,https://www.youtube.com/watch?v=GA8r1TRcQ38,GA8r1TRcQ38
RADIOS ATÓMICOS E IÓNICOS | Química Básica,https://www.youtube.com/watch?v=BC24pwVlf9g,BC24pwVlf9g
EQUILIBRIO Y PRESIÓN | Equilibrio,https://www.youtube.com/watch?v=yxLeOSPVw1U,yxLeOSPVw1U
CONFIGURACION ELECTRONICA DE IONES | 13 | Ejercicios de química resueltos,https://www.youtube.com/watch?v=CfWIP1bqQzc,CfWIP1bqQzc
Probetas | 3 | Material de laboratorio,https://www.youtube.com/watch?v=MeYkGL_sDWE,MeYkGL_sDWE
